"Submission ID","Last updated","Submission started","Status","Current step","What is your current academic level?","How would you describe your personality in social situations?","How much free time do you have per week for internship preparation?","How is your energy level during a typical week?","How difficult is updating your CV for you personally?","How difficult is improving your LinkedIn profile for you personally?","How difficult is contacting a professor for you personally?","How difficult is talking to alumni for you personally?","How difficult is contacting HR or employees on LinkedIn for you personally?","How difficult is attending career fairs for you personally?","How difficult is attending workshops for you personally?","How difficult is participating in hackathons for you personally?","How difficult is joining a student club / association for you personally?","How difficult is doing company visits for you personally?","How difficult is searching in job platforms for you personally?","How difficult is sending spontaneous applications for you personally?","How difficult is preparing for internship interviews for you personally?","How difficult is doing skill-building activities (courses, Youtube, certifications) for you personally?","How long do you think updating your CV typically takes you?","How long do you think improving your LinkedIn profile typically takes you?","How long do you think contacting a professor typically takes you?","How long do you think talking to alumni typically takes you?","How long do you think contacting HR or employees on LinkedIn typically takes you?","How long do you think attending career fairs typically takes you?","How long do you think attending workshops typically takes you?","How long do you think participating in hackathons typically takes you?","How long do you think joining a student club / association typically takes you?","How long do you think doing company visits typically takes you?","How long do you think searching in job platforms typically takes you?","How long do you think sending spontaneous applications typically takes you?","How long do you think preparing for internship interviews typically takes you?","How long do you think doing skill-building activities (courses, YouTube, certifications) typically takes you?","How valuable do you think career fairs are for getting an internship?","How valuable do you think searching in job platforms is for getting an internship?","How valuable do you think contacting HR / networking is for getting an internship?","How valuable do you think company visits are for getting an internship?","How valuable do you think hackathons are for getting an internship?","How valuable do you think talking to alumni is for getting an internship?","How valuable do you think skill-building is for getting an internship?","How valuable do you think updating your CV is for getting an internship?","How valuable do you think optimizing LinkedIn is for getting an internship?","How valuable do you think spontaneous applications are for getting an internship?","How valuable do you think attending workshops is for getting an internship?","Please rank these 5 actions by importance (1 = most important).","How comfortable are you with talking to strangers?","How comfortable are you attending big networking events?","How comfortable are you with asking help from professionals or seniors?","Have you ever attended a career fair?","Have you ever applied on job platforms like LinkedIn, Indeed...?","Have you ever talked to alumni before?","What was the biggest challenge you faced while looking for an internship?","How confident are you about getting an internship this year?","Errors","Url","Network ID"
"b28034c7-622d-4193-b81d-9325f248c0c3","Sat Nov 29 2025 12:11:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 12:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","3","4","2","2","5","1","5","1","1","1","1","1","5","1","5","1","1–3 hours","3–5 hours","Less than 1 hour","Less than 1 hour","1 day","1 day","1 day","1 day","Less than 1 hour","Less than 1 hour","3–5 hours","3–5 hours","1–3 hours","More than 1 day","1","7","5","1","1","3","7","7","7","7","5","Searching on job platforms,Contacting HR / employees on LinkedIn,Talking to alumni,Going to career fairs,Doing company visits","4","5","2","Yes","Yes","Yes","Not finding the suitable post","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=b28034c7-622d-4193-b81d-9325f248c0c3","266daebf63be2776980fc449377a12f0"
"e06e012e-5051-4502-950a-4c8c356e5bfd","Sat Nov 29 2025 11:04:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 11:04:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","2","3","3","4","1","2","4","3","4","4","4","3","4","4","3","4","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","1–3 hours","1–3 hours","More than 1 day","More than 1 day","1 day","3–5 hours","1–3 hours","1 day","More than 1 day","2","2","7","3","5","4","7","7","5","3","2","Contacting HR / employees on LinkedIn,Talking to alumni,Doing company visits,Going to career fairs,Searching on job platforms","4","3","4","Yes","Yes","Yes","Choice of company, Lack of certifications in my field","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=e06e012e-5051-4502-950a-4c8c356e5bfd","2d2d0fa3b3fbb9de1f1918eb702a3a54"
"15b8ccda-ef04-472a-a5a6-c6a86f728a8d","Sat Nov 29 2025 02:11:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 02:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Social","4","4","5","5","4","4","4","5","2","2","1","1","1","1","1","1","1–3 hours","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","More than 1 day","1 day","1–3 hours","Less than 1 hour","Less than 1 hour","1–3 hours","3–5 hours","3","3","5","5","2","5","","2","6","6","4","Contacting HR / employees on LinkedIn,Searching on job platforms,Doing company visits,Talking to alumni,Going to career fairs","5","5","5","Yes","Yes","Yes","","6","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=15b8ccda-ef04-472a-a5a6-c6a86f728a8d","ffc09c6f5ae1624329d1dde31c9681ff"
"2963ed3f-106c-41d6-99d4-343a41509d9a","Sat Nov 29 2025 01:20:00 GMT+0100 (Central European Standard Time)","Sat Nov 29 2025 01:20:00 GMT+0100 (Central European Standard Time)","finished","Ending","Sophomore","Neutral","3","2","3","4","2","3","4","2","2","3","4","3","4","4","4","3","1–3 hours","1–3 hours","Less than 1 hour","3–5 hours","More than 1 day","3–5 hours","1 day","More than 1 day","More than 1 day","More than 1 day","1 day","More than 1 day","1 day","More than 1 day","6","6","6","2","4","4","6","6","6","5","3","Searching on job platforms,Contacting HR / employees on LinkedIn,Talking to alumni,Going to career fairs,Doing company visits","4","4","4","No","No","Yes","","5","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=2963ed3f-106c-41d6-99d4-343a41509d9a","64e9fdb33fd4d1f64a85f9145273ab28"
"0b2c7309-3ebd-4fb0-aa9b-135d5dde943c","Fri Nov 28 2025 21:33:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 21:33:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","5","5","3","3","4","4","4","4","3","4","4","3","4","3","5","4","1 day","3–5 hours","1–3 hours","3–5 hours","3–5 hours","1 day","1 day","3–5 hours","1 day","1 day","3–5 hours","3–5 hours","3–5 hours","1–3 hours","4","3","4","2","4","4","2","5","2","5","2","Doing company visits","3","3","4","Yes","Yes","Yes","Something that i can  learn more skills ","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=0b2c7309-3ebd-4fb0-aa9b-135d5dde943c","ca158a6c1cbba117bacce6ebb7b0a322"
"0d2015ed-53c4-4217-b4af-442e0b0789dd","Fri Nov 28 2025 21:26:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 21:26:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","4","2","5","4","1","1","3","1","1","5","2","3","3","2","4","2","1–3 hours","More than 1 day","Less than 1 hour","1–3 hours","Less than 1 hour","1–3 hours","1–3 hours","More than 1 day","1–3 hours","3–5 hours","3–5 hours","Less than 1 hour","More than 1 day","Less than 1 hour","5","4","6","7","1","6","5","7","7","7","4","Searching on job platforms,Going to career fairs,Talking to alumni,Doing company visits,Contacting HR / employees on LinkedIn","5","5","5","Yes","No","No","abooki","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=0d2015ed-53c4-4217-b4af-442e0b0789dd","5a153593910d0cb369976c361148eda4"
"150e904c-60e5-4f14-bdab-674180c7c4c3","Fri Nov 28 2025 21:11:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 21:11:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","5","3","2","2","4","1","2","3","3","2","2","4","2","2","2","2","1–3 hours","1–3 hours","More than 1 day","1 day","More than 1 day","1 day","1–3 hours","More than 1 day","More than 1 day","1 day","1–3 hours","1–3 hours","1–3 hours","1 day","","4","5","4","3","6","6","6","6","5","4","Searching on job platforms,Contacting HR / employees on LinkedIn,Going to career fairs,Talking to alumni,Doing company visits","3","4","4","Yes","Yes","Yes","","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=150e904c-60e5-4f14-bdab-674180c7c4c3","254d5ad8a33a1be70071c2a99033cf1a"
"09f09756-8274-4e01-8601-d32cbe2c76e6","Fri Nov 28 2025 20:44:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 20:44:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Social","5","4","3","3","1","3","2","4","3","3","2","3","4","2","4","2","1–3 hours","More than 1 day","Less than 1 hour","1–3 hours","3–5 hours","3–5 hours","3–5 hours","1 day","1–3 hours","1 day","More than 1 day","1–3 hours","1 day","More than 1 day","5","5","5","5","5","5","6","6","6","6","6","Searching on job platforms,Contacting HR / employees on LinkedIn,Going to career fairs,Talking to alumni,Doing company visits","3","3","2","No","Yes","Yes","","6","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=09f09756-8274-4e01-8601-d32cbe2c76e6","b0afb77b5bfb3dadd43c459836faf389"
"615604cb-2e99-4263-b714-c387ae23232e","Fri Nov 28 2025 20:23:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 20:23:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","1","3","1","2","4","3","5","3","3","4","4","4","4","4","4","4","More than 1 day","More than 1 day","More than 1 day","3–5 hours","More than 1 day","More than 1 day","1 day","More than 1 day","More than 1 day","1–3 hours","3–5 hours","3–5 hours","3–5 hours","More than 1 day","4","7","7","7","7","7","7","7","7","7","7","Searching on job platforms,Contacting HR / employees on LinkedIn,Talking to alumni,Doing company visits,Going to career fairs","4","3","3","Yes","Yes","Yes","Getting many rejections ","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=615604cb-2e99-4263-b714-c387ae23232e","399f4c4a74ababb77a6cff7996479c7b"
"3846063d-86a0-42d8-b66b-ea7febda2bc5","Fri Nov 28 2025 20:12:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 20:12:00 GMT+0100 (Central European Standard Time)","finished","Ending","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=3846063d-86a0-42d8-b66b-ea7febda2bc5","e61bcb68429d1b926a2f628b26bd4cbf"
"114c9836-bbff-464f-bee2-facb9a79e688","Fri Nov 28 2025 20:12:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 20:12:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Neutral","2","3","2","1","2","2","3","3","1","2","1","3","2","3","4","2","1–3 hours","3–5 hours","1–3 hours","3–5 hours","Less than 1 hour","1–3 hours","More than 1 day","1–3 hours","1 day","","","","","","","","","","","","","","","","","","","","","","","","","","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=114c9836-bbff-464f-bee2-facb9a79e688","20cb2192a048644c1d6ceb60924f0b54"
"17c06c8d-1c2f-4246-9508-2a24f97f3496","Fri Nov 28 2025 20:06:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 20:06:00 GMT+0100 (Central European Standard Time)","finished","Ending","","Neutral","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","1 day","1 day","Less than 1 hour","More than 1 day","1 day","3–5 hours","More than 1 day","3–5 hours","1 day","1 day","4","4","4","4","4","4","4","4","4","4","4","Talking to alumni,Going to career fairs,Contacting HR / employees on LinkedIn,Doing company visits,Searching on job platforms","4","5","4","Yes","No","Yes","","7","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=17c06c8d-1c2f-4246-9508-2a24f97f3496","de4da2d2d753daf0b8e23c7824c8ac5e"
"99c5315c-be3b-4885-ae86-268d6d832da5","Fri Nov 28 2025 19:52:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 19:52:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Shy","2","3","2","3","1","2","4","3","3","2","2","3","4","3","2","2","1–3 hours","Less than 1 hour","1–3 hours","Less than 1 hour","1–3 hours","Less than 1 hour","3–5 hours","Less than 1 hour","Less than 1 hour","1–3 hours","Less than 1 hour","Less than 1 hour","1–3 hours","1 day","3","4","2","3","4","3","3","4","2","3","4","Doing company visits","3","2","4","No","Yes","No","","2","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=99c5315c-be3b-4885-ae86-268d6d832da5","fdfbb40a4f6b402d1bd7da6794cc3095"
"4ca42ab7-f309-449c-a46f-d4678bc759cf","Fri Nov 28 2025 19:42:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 19:42:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","4","4","2","2","3","2","1","3","3","3","1","4","3","2","4","3","1–3 hours","1–3 hours","Less than 1 hour","Less than 1 hour","1–3 hours","1–3 hours","3–5 hours","1 day","Less than 1 hour","More than 1 day","3–5 hours","3–5 hours","1 day","More than 1 day","4","5","5","4","4","3","3","6","6","6","4","Contacting HR / employees on LinkedIn,Searching on job platforms,Going to career fairs,Doing company visits,Talking to alumni","3","3","2","Yes","Yes","No","","9","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=4ca42ab7-f309-449c-a46f-d4678bc759cf","8be0b532d0fb68c30c71998e56dd0dbe"
"90cb5630-c489-40bb-97ba-f35cbbe5d08a","Fri Nov 28 2025 19:20:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 19:20:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Social","4","2","3","4","5","4","5","5","4","4","2","5","4","5","3","3","1–3 hours","3–5 hours","More than 1 day","1 day","More than 1 day","1 day","1 day","More than 1 day","More than 1 day","1 day","More than 1 day","More than 1 day","1 day","More than 1 day","3","5","3","2","3","5","6","7","7","4","4","Searching on job platforms,Talking to alumni,Contacting HR / employees on LinkedIn,Going to career fairs,Doing company visits","4","5","5","Yes","Yes","Yes","opportunities public availability ","7","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=90cb5630-c489-40bb-97ba-f35cbbe5d08a","53732473c7d9fe011e26ca062da6a4a0"
"cf77327f-9439-45f2-b30f-e66c340c0c1c","Fri Nov 28 2025 19:17:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 19:17:00 GMT+0100 (Central European Standard Time)","finished","Ending","Junior","Social","4","3","1","5","1","1","5","5","3","1","1","1","4","1","2","1","Less than 1 hour","3–5 hours","Less than 1 hour","Less than 1 hour","3–5 hours","1 day","1 day","1 day","3–5 hours","3–5 hours","1 day","1–3 hours","1–3 hours","More than 1 day","2","2","6","4","4","6","7","6","4","4","2","Contacting HR / employees on LinkedIn,Talking to alumni,Doing company visits,Searching on job platforms,Going to career fairs","5","2","5","Yes","Yes","Yes","Internship scams","10","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=cf77327f-9439-45f2-b30f-e66c340c0c1c","5b15675a010d4adb6aad15dd587768a0"
"f621d23e-7734-4722-a05a-76c16af15bed","Fri Nov 28 2025 19:15:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 19:15:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","3","4","1","1","1","2","2","2","2","2","1","1","1","1","1","1","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","1 day","1–3 hours","More than 1 day","1–3 hours","3–5 hours","3–5 hours","1–3 hours","1–3 hours","More than 1 day","3","3","4","2","4","4","6","7","6","3","2","Searching on job platforms,Contacting HR / employees on LinkedIn,Going to career fairs,Talking to alumni,Doing company visits","3","2","4","Yes","Yes","Yes","","","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=f621d23e-7734-4722-a05a-76c16af15bed","565ff0f3d7554f409f32799354b31fa8"
"51eabeb7-f942-4610-913b-f4d54298dd58","Fri Nov 28 2025 18:48:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 18:48:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Neutral","3","2","2","2","5","3","3","2","4","3","2","4","4","3","3","4","1–3 hours","3–5 hours","More than 1 day","1 day","More than 1 day","1 day","3–5 hours","More than 1 day","More than 1 day","More than 1 day","3–5 hours","3–5 hours","1–3 hours","More than 1 day","4","5","3","5","2","3","5","7","4","4","2","Searching on job platforms,Going to career fairs,Contacting HR / employees on LinkedIn,Doing company visits,Talking to alumni","4","4","2","Yes","Yes","Yes","Companies contacting email are mostly not available on linkdin especially global companies present in Tunisia","9","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=51eabeb7-f942-4610-913b-f4d54298dd58","eae7b9038441827b0bbe5c91da114bc5"
"7548dc95-6eed-4125-a757-e0826382c7c1","Fri Nov 28 2025 18:45:00 GMT+0100 (Central European Standard Time)","Fri Nov 28 2025 18:45:00 GMT+0100 (Central European Standard Time)","finished","Ending","Senior","Shy","4","3","3","4","4","5","4","4","4","3","2","3","3","4","5","5","3–5 hours","3–5 hours","Less than 1 hour","Less than 1 hour","1–3 hours","1 day","3–5 hours","More than 1 day","More than 1 day","1 day","More than 1 day","More than 1 day","More than 1 day","More than 1 day","2","1","2","2","3","5","5","6","6","5","3","Talking to alumni,Contacting HR / employees on LinkedIn,Searching on job platforms,Going to career fairs,Doing company visits","2","3","2","Yes","Yes","Yes","I didnt know what to do at first by what start and when especially","9","None","https://build.fillout.com/editor/mNRCHfaS5Xus/results?sessionId=7548dc95-6eed-4125-a757-e0826382c7c1","57e1d6041749da81d2906a68bd9e43f2"
